DATE,PCE_PC1,CPIAUCSL_PC1,CPILFESL_PC1
2010-10-01,4.10657,1.16670,0.60272
2010-11-01,4.48541,1.08454,0.67206
2010-12-01,4.16211,1.43779,0.66189
2011-01-01,4.55644,1.70078,0.98353
2011-02-01,4.43062,2.12490,1.12445
2011-03-01,4.56577,2.61924,1.20979
2011-04-01,4.61389,3.07723,1.31554
2011-05-01,4.51874,3.45897,1.45410
2011-06-01,4.53022,3.50232,1.58368
2011-07-01,4.51398,3.57988,1.74148
2011-08-01,4.29995,3.75500,1.96516
2011-09-01,4.41654,3.81262,1.98772
2011-10-01,4.01005,3.52227,2.10792
2011-11-01,3.57691,3.45143,2.13820
2011-12-01,3.31200,3.06207,2.27666
2012-01-01,3.63790,3.00877,2.27735
2012-02-01,4.23695,2.89818,2.15982
2012-03-01,3.52364,2.58288,2.24834
2012-04-01,3.43970,2.27316,2.31443
