DATE,UNRATE_CH1,GDPC1_PC1
2006-04-01,-0.4666666666666667,2.97290
2006-07-01,-0.3333333333333334,2.32528
2006-10-01,-0.5333333333333334,2.63456
2007-01-01,-0.2333333333333333,1.57672
2007-04-01,-0.1333333333333333,1.93437
2007-07-01,0.0333333333333334,2.36804
2007-10-01,0.3666666666666667,2.13336
2008-01-01,0.5000000000000000,1.39247
2008-04-01,0.8333333333333333,1.37601
2008-07-01,1.3333333333333333,0.26597
2008-10-01,2.0666666666666667,-2.54115
2009-01-01,3.2666666666666667,-3.23423
2009-04-01,3.9666666666666667,-3.97884
2009-07-01,3.6333333333333333,-3.13282
2009-10-01,3.0666666666666666,0.10557
2010-01-01,1.5666666666666666,1.74527
2010-04-01,0.3333333333333333,2.91360
2010-07-01,-0.1666666666666666,3.34421
2010-10-01,-0.4333333333333333,2.77596
2011-01-01,-0.8000000000000000,2.03780
2011-04-01,-0.5666666666666666,1.74371
2011-07-01,-0.4666666666666667,0.94265
2011-10-01,-0.8666666666666667,1.54308
2012-01-01,-0.7666666666666666,2.63807
2012-04-01,-0.8666666666666667,2.40334
2012-07-01,-0.9666666666666667,2.57371
2012-10-01,-0.8333333333333333,1.55185
2013-01-01,-0.5333333333333334,1.70087
2013-04-01,-0.6666666666666667,1.51994
2013-07-01,-0.8000000000000000,2.23702
2013-10-01,-0.8666666666666667,3.00914
2014-01-01,-1.0666666666666666,1.65082
2014-04-01,-1.3333333333333333,2.68915
2014-07-01,-1.1666666666666666,3.05978
2014-10-01,-1.2333333333333333,2.68584
2015-01-01,-1.1333333333333334,3.96930
2015-04-01,-0.7666666666666667,3.27909
2015-07-01,-0.9666666666666667,2.44732
2015-10-01,-0.6666666666666667,2.11986
2016-01-01,-0.6333333333333333,1.79502
2016-04-01,-0.5000000000000000,1.49325
2016-07-01,-0.2000000000000000,1.80576
2016-10-01,-0.2666666666666666,2.18157
2017-01-01,-0.3333333333333333,2.08746
2017-04-01,-0.5666666666666666,2.33041
2017-07-01,-0.5666666666666667,2.41082
2017-10-01,-0.6000000000000000,2.99414
2018-01-01,-0.5333333333333334,3.32881
2018-04-01,-0.4333333333333334,3.29896
2018-07-01,-0.5666666666666666,3.13003
2018-10-01,-0.3333333333333334,2.12511
2019-01-01,-0.1666666666666666,1.85129
2019-04-01,-0.3000000000000000,2.15405
2019-07-01,-0.1666666666666667,2.67026
2019-10-01,-0.2333333333333333,3.18256
2020-01-01,-0.0333333333333334,1.22655
2020-04-01,9.3666666666666667,-7.52846
2020-07-01,5.2000000000000000,-1.46893
2020-10-01,3.1333333333333333,-1.08329
2021-01-01,2.4000000000000000,1.57261
2021-04-01,-7.0666666666666667,11.95027
2021-07-01,-3.7333333333333333,4.73532
2021-10-01,-2.5666666666666666,5.42109
2022-01-01,-2.4333333333333333,3.56508
2022-04-01,-2.3000000000000000,1.87060
2022-07-01,-1.5333333333333334,1.71321
2022-10-01,-0.6000000000000000,0.65169
2023-01-01,-0.3000000000000000,1.71793
2023-04-01,-0.0666666666666666,2.38247
2023-07-01,0.1666666666666667,2.92689
2023-10-01,0.1666666666666666,3.08779
